,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.606871,0.6066834,0.6085714,0.6003958,145.07915,216.0,4.8431826,2,session_E,22,2,001-2014,ACM+MDM(Grid)
1,0.68520087,0.6817843,0.6857143,0.6818682,128.31049,216.0,3.1968446,2,session_T,22,2,001-2014,ACM+MDM(Grid)
2,0.72653276,0.73954666,0.7285714,0.7228433,0.53884095,216.0,0.013254961,2,session_E,22,2,001-2014,Cov+EN
3,0.6808668,0.68599266,0.68190473,0.6777091,0.5207855,216.0,0.01677334,2,session_T,22,2,001-2014,Cov+EN
4,0.5743129,0.5690764,0.5752381,0.5661043,4.2838583,216.0,0.0988863,2,session_E,22,2,001-2014,CSP+LDA
5,0.6433404,0.6391523,0.6450794,0.63736254,4.0775194,216.0,0.124809645,2,session_T,22,2,001-2014,CSP+LDA
6,0.6947146,0.6880718,0.6936508,0.68834776,753.4965,216.0,20.130123,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,0.69460887,0.6963315,0.6968254,0.691787,736.97595,216.0,20.915455,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,0.7125793,0.72191435,0.7126984,0.70830125,0.19591136,216.0,0.0065960954,2,session_E,22,2,001-2014,FgMDM
9,0.6989429,0.69896173,0.7009524,0.69450337,0.18545151,216.0,0.004505052,2,session_T,22,2,001-2014,FgMDM
10,0.60211414,0.5992645,0.60380954,0.59994555,0.14206238,216.0,0.0041914964,2,session_E,22,2,001-2014,MDM
11,0.7176533,0.72197616,0.71809524,0.7153889,0.051163197,216.0,0.0009818127,2,session_T,22,2,001-2014,MDM
12,0.6571882,0.6631934,0.6571429,0.64991355,0.5207635,216.0,0.012552381,2,session_E,22,2,001-2014,TANG+SVM
13,0.69936574,0.6992678,0.69968253,0.6951829,0.5118458,216.0,0.01647916,2,session_T,22,2,001-2014,TANG+SVM
