,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0.6064815,0.5927844,0.6064815,0.5730965,166.99503,216.0,1.1015544,2,session_E,22,2,001-2014,ACM+MDM(Grid)
1,0.6388889,0.8015444,0.6388889,0.5423568,333.04318,216.0,2.1981685,2,session_T,22,2,001-2014,ACM+MDM(Grid)
2,0.6064815,0.6486598,0.6064815,0.5208259,0.9882555,216.0,0.004355387,2,session_E,22,2,001-2014,Cov+EN
3,0.5925926,0.4624961,0.5925926,0.49580246,2.0440004,216.0,0.008934084,2,session_T,22,2,001-2014,Cov+EN
4,0.5787037,0.58597064,0.5787037,0.5442676,3.4485939,216.0,0.017584857,2,session_E,22,2,001-2014,CSP+LDA
5,0.6018519,0.5772468,0.6018519,0.55340934,4.9913616,216.0,0.024411011,2,session_T,22,2,001-2014,CSP+LDA
6,0.6342593,0.65047073,0.6342593,0.59467626,758.33136,216.0,4.3288126,2,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
7,0.6296296,0.8013653,0.6296296,0.5426837,1556.2579,216.0,8.973686,2,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
8,0.5324074,0.5391908,0.5324074,0.48314658,0.7481272,216.0,0.0045503946,2,session_E,22,2,001-2014,FgMDM
9,0.5787037,0.5578119,0.5787037,0.49732047,1.5358517,216.0,0.009395923,2,session_T,22,2,001-2014,FgMDM
10,0.625,0.6110947,0.625,0.5982979,0.48141503,216.0,0.0028606518,2,session_E,22,2,001-2014,MDM
11,0.6296296,0.45814535,0.6296296,0.5187829,0.8406024,216.0,0.0049641407,2,session_T,22,2,001-2014,MDM
12,0.36574075,0.44816586,0.36574075,0.22989024,0.8294325,216.0,0.0036540097,2,session_E,22,2,001-2014,TANG+SVM
13,0.4537037,0.5980545,0.4537037,0.45035136,1.6238947,216.0,0.0071135485,2,session_T,22,2,001-2014,TANG+SVM
